title,release_date,developer,publisher
Smite,2015-09-08,Titan Forge Games,Hi-Rez Studios
Elden Ring,2022-02-25,FromSoftware Inc.,"FromSoftware Inc, BANDAI NAMCO Entertainment"
The Binding of Isaac: Rebirth,2014-11-04,"Nicalis, Inc, Edmund McMillen","Nicalis, Inc"
BioShock 2,2010-02-09,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K
Battletech,2018-04-24,Harebrained Schemes,Paradox Interactive
Dead Cells,2018-08-06,Motion Twin,Motion Twin
Elex,2017-10-17,Piranha Bytes,THQ Nordic
Fallout 4,2015-11-10,Bethesda Game Studios,Bethesda Softworks
Kenshi,2018-12-06,Lo-Fi Games,Lo-Fi Games
Rage,2011-10-04,id Software,Bethesda Softwares
S.T.A.L.K.E.R: Call of Pripyat,2010-02-12,GSC Game World,GSC Game World
The Surge,2017-05-16,Deck13,Focus Home Interactive
The Surge 2,2019-09-24,Deck13,Focus Home Interactive
They Are Billions,2019-06-18,Numantian Games,Numantian Games
Remnant: From the Ashes,2019-08-20,Gunfire Games,Perfect World Entertainment
Sid Meier's Civilization V,2010-09-23,"Firaxis Games, Aspyr","2K, Aspyr"
The Witcher 3: Wild Hunt,2015-05-18,CD Projekt red,CD Projekt red
Terraria,2011-05-16,Re-Logic,Re-Logic
Stoneshard,2020-02-06,Ink Stains Games,HypeTrain Digital
Prey,2017-05-04,Arkane Studios,Bethesda Softworks